Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
3,2,0.6858795236362071,0.6951553672316384,22.0,None_0.775_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,None_0.775_0.5
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,None_1.0_0.1
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,None_1.0_0.2
3,2,0.6819620067392249,0.7007834397241177,22.000000000000004,None_1.0_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,None_1.0_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,None_1.0_0.5
3,2,0.693627479756887,0.7689883703866754,22.0,5_0.1_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,5_0.1_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,5_0.1_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,5_0.1_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,5_0.1_0.5
3,2,0.7086087531651266,0.7613693227676278,22.0,5_0.325_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,5_0.325_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,5_0.325_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,5_0.325_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,5_0.325_0.5
3,2,0.7009459179160845,0.7576028444248784,21.999999999999996,5_0.55_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,5_0.55_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,5_0.55_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,5_0.55_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,5_0.55_0.5
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,5_0.775_0.1
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,5_0.775_0.2
3,2,0.6819620067392249,0.7007834397241177,22.000000000000004,5_0.775_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,5_0.775_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,5_0.775_0.5
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,5_1.0_0.1
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,5_1.0_0.2
3,2,0.6819620067392249,0.7007834397241177,22.000000000000004,5_1.0_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,5_1.0_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,5_1.0_0.5
3,2,0.693627479756887,0.7689883703866754,22.0,10_0.1_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,10_0.1_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,10_0.1_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,10_0.1_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,10_0.1_0.5
3,2,0.7086087531651266,0.7613693227676278,22.0,10_0.325_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,10_0.325_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,10_0.325_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,10_0.325_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,10_0.325_0.5
3,2,0.7009459179160845,0.7576028444248784,21.999999999999996,10_0.55_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,10_0.55_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,10_0.55_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,10_0.55_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,10_0.55_0.5
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,10_0.775_0.1
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,10_0.775_0.2
3,2,0.6819620067392249,0.7007834397241177,22.000000000000004,10_0.775_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,10_0.775_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,10_0.775_0.5
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,10_1.0_0.1
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,10_1.0_0.2
3,2,0.6819620067392249,0.7007834397241177,22.000000000000004,10_1.0_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,10_1.0_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,10_1.0_0.5
3,2,0.693627479756887,0.7689883703866754,22.0,15_0.1_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,15_0.1_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,15_0.1_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,15_0.1_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,15_0.1_0.5
3,2,0.7086087531651266,0.7613693227676278,22.0,15_0.325_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,15_0.325_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,15_0.325_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,15_0.325_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,15_0.325_0.5
3,2,0.7009459179160845,0.7576028444248784,21.999999999999996,15_0.55_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,15_0.55_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,15_0.55_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,15_0.55_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,15_0.55_0.5
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,15_0.775_0.1
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,15_0.775_0.2
3,2,0.6819620067392249,0.7007834397241177,22.000000000000004,15_0.775_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,15_0.775_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,15_0.775_0.5
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,15_1.0_0.1
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,15_1.0_0.2
3,2,0.6819620067392249,0.7007834397241177,22.000000000000004,15_1.0_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,15_1.0_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,15_1.0_0.5
3,2,0.693627479756887,0.7689883703866754,22.0,20_0.1_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,20_0.1_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,20_0.1_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,20_0.1_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,20_0.1_0.5
3,2,0.7086087531651266,0.7613693227676278,22.0,20_0.325_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,20_0.325_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,20_0.325_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,20_0.325_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,20_0.325_0.5
3,2,0.7009459179160845,0.7576028444248784,21.999999999999996,20_0.55_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,20_0.55_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,20_0.55_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,20_0.55_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,20_0.55_0.5
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,20_0.775_0.1
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,20_0.775_0.2
3,2,0.6819620067392249,0.7007834397241177,22.000000000000004,20_0.775_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,20_0.775_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,20_0.775_0.5
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,20_1.0_0.1
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,20_1.0_0.2
3,2,0.6819620067392249,0.7007834397241177,22.000000000000004,20_1.0_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,20_1.0_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,20_1.0_0.5
3,2,0.693627479756887,0.7689883703866754,22.0,25_0.1_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,25_0.1_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,25_0.1_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,25_0.1_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,25_0.1_0.5
3,2,0.7086087531651266,0.7613693227676278,22.0,25_0.325_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,25_0.325_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,25_0.325_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,25_0.325_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,25_0.325_0.5
3,2,0.7009459179160845,0.7576028444248784,21.999999999999996,25_0.55_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,25_0.55_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,25_0.55_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,25_0.55_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,25_0.55_0.5
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,25_0.775_0.1
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,25_0.775_0.2
3,2,0.6819620067392249,0.7007834397241177,22.000000000000004,25_0.775_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,25_0.775_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,25_0.775_0.5
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,25_1.0_0.1
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,25_1.0_0.2
3,2,0.6819620067392249,0.7007834397241177,22.000000000000004,25_1.0_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,25_1.0_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,25_1.0_0.5
3,2,0.693627479756887,0.7689883703866754,22.0,30_0.1_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,30_0.1_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,30_0.1_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,30_0.1_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,30_0.1_0.5
3,2,0.7086087531651266,0.7613693227676278,22.0,30_0.325_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,30_0.325_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,30_0.325_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,30_0.325_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,30_0.325_0.5
3,2,0.7009459179160845,0.7576028444248784,21.999999999999996,30_0.55_0.1
3,2,0.670340072558205,0.7291609191185462,22.0,30_0.55_0.2
3,2,0.6705983703755886,0.7083591972998753,22.0,30_0.55_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,30_0.55_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,30_0.55_0.5
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,30_0.775_0.1
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,30_0.775_0.2
3,2,0.6819620067392249,0.7007834397241177,22.000000000000004,30_0.775_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,30_0.775_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,30_0.775_0.5
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,30_1.0_0.1
3,2,0.6819620067392249,0.7026666788954924,22.000000000000004,30_1.0_0.2
3,2,0.6819620067392249,0.7007834397241177,22.000000000000004,30_1.0_0.30000000000000004
3,2,0.6858795236362071,0.6951553672316384,22.0,30_1.0_0.4
3,2,0.5530327490323615,0.579546127130873,22.0,30_1.0_0.5
3,3,0.693627479756887,0.7689883703866754,22.0,None_0.1_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,None_0.1_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,None_0.1_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,None_0.1_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,None_0.1_0.5
3,3,0.7086087531651266,0.7613693227676278,22.0,None_0.325_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,None_0.325_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,None_0.325_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,None_0.325_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,None_0.325_0.5
3,3,0.7009459179160845,0.7576028444248784,21.999999999999996,None_0.55_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,None_0.55_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,None_0.55_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,None_0.55_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,None_0.55_0.5
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,None_0.775_0.1
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,None_0.775_0.2
3,3,0.6819620067392249,0.7007834397241177,22.000000000000004,None_0.775_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,None_0.775_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,None_0.775_0.5
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,None_1.0_0.1
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,None_1.0_0.2
3,3,0.6819620067392249,0.7007834397241177,22.000000000000004,None_1.0_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,None_1.0_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,None_1.0_0.5
3,3,0.693627479756887,0.7689883703866754,22.0,5_0.1_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,5_0.1_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,5_0.1_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,5_0.1_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,5_0.1_0.5
3,3,0.7086087531651266,0.7613693227676278,22.0,5_0.325_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,5_0.325_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,5_0.325_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,5_0.325_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,5_0.325_0.5
3,3,0.7009459179160845,0.7576028444248784,21.999999999999996,5_0.55_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,5_0.55_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,5_0.55_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,5_0.55_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,5_0.55_0.5
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,5_0.775_0.1
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,5_0.775_0.2
3,3,0.6819620067392249,0.7007834397241177,22.000000000000004,5_0.775_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,5_0.775_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,5_0.775_0.5
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,5_1.0_0.1
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,5_1.0_0.2
3,3,0.6819620067392249,0.7007834397241177,22.000000000000004,5_1.0_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,5_1.0_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,5_1.0_0.5
3,3,0.693627479756887,0.7689883703866754,22.0,10_0.1_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,10_0.1_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,10_0.1_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,10_0.1_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,10_0.1_0.5
3,3,0.7086087531651266,0.7613693227676278,22.0,10_0.325_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,10_0.325_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,10_0.325_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,10_0.325_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,10_0.325_0.5
3,3,0.7009459179160845,0.7576028444248784,21.999999999999996,10_0.55_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,10_0.55_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,10_0.55_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,10_0.55_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,10_0.55_0.5
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,10_0.775_0.1
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,10_0.775_0.2
3,3,0.6819620067392249,0.7007834397241177,22.000000000000004,10_0.775_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,10_0.775_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,10_0.775_0.5
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,10_1.0_0.1
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,10_1.0_0.2
3,3,0.6819620067392249,0.7007834397241177,22.000000000000004,10_1.0_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,10_1.0_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,10_1.0_0.5
3,3,0.693627479756887,0.7689883703866754,22.0,15_0.1_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,15_0.1_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,15_0.1_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,15_0.1_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,15_0.1_0.5
3,3,0.7086087531651266,0.7613693227676278,22.0,15_0.325_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,15_0.325_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,15_0.325_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,15_0.325_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,15_0.325_0.5
3,3,0.7009459179160845,0.7576028444248784,21.999999999999996,15_0.55_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,15_0.55_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,15_0.55_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,15_0.55_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,15_0.55_0.5
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,15_0.775_0.1
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,15_0.775_0.2
3,3,0.6819620067392249,0.7007834397241177,22.000000000000004,15_0.775_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,15_0.775_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,15_0.775_0.5
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,15_1.0_0.1
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,15_1.0_0.2
3,3,0.6819620067392249,0.7007834397241177,22.000000000000004,15_1.0_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,15_1.0_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,15_1.0_0.5
3,3,0.693627479756887,0.7689883703866754,22.0,20_0.1_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,20_0.1_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,20_0.1_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,20_0.1_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,20_0.1_0.5
3,3,0.7086087531651266,0.7613693227676278,22.0,20_0.325_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,20_0.325_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,20_0.325_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,20_0.325_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,20_0.325_0.5
3,3,0.7009459179160845,0.7576028444248784,21.999999999999996,20_0.55_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,20_0.55_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,20_0.55_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,20_0.55_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,20_0.55_0.5
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,20_0.775_0.1
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,20_0.775_0.2
3,3,0.6819620067392249,0.7007834397241177,22.000000000000004,20_0.775_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,20_0.775_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,20_0.775_0.5
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,20_1.0_0.1
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,20_1.0_0.2
3,3,0.6819620067392249,0.7007834397241177,22.000000000000004,20_1.0_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,20_1.0_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,20_1.0_0.5
3,3,0.693627479756887,0.7689883703866754,22.0,25_0.1_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,25_0.1_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,25_0.1_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,25_0.1_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,25_0.1_0.5
3,3,0.7086087531651266,0.7613693227676278,22.0,25_0.325_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,25_0.325_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,25_0.325_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,25_0.325_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,25_0.325_0.5
3,3,0.7009459179160845,0.7576028444248784,21.999999999999996,25_0.55_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,25_0.55_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,25_0.55_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,25_0.55_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,25_0.55_0.5
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,25_0.775_0.1
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,25_0.775_0.2
3,3,0.6819620067392249,0.7007834397241177,22.000000000000004,25_0.775_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,25_0.775_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,25_0.775_0.5
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,25_1.0_0.1
3,3,0.6819620067392249,0.7026666788954924,22.000000000000004,25_1.0_0.2
3,3,0.6819620067392249,0.7007834397241177,22.000000000000004,25_1.0_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,25_1.0_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,25_1.0_0.5
3,3,0.693627479756887,0.7689883703866754,22.0,30_0.1_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,30_0.1_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,30_0.1_0.30000000000000004
3,3,0.6858795236362071,0.6951553672316384,22.0,30_0.1_0.4
3,3,0.5530327490323615,0.579546127130873,22.0,30_0.1_0.5
3,3,0.7086087531651266,0.7613693227676278,22.0,30_0.325_0.1
3,3,0.670340072558205,0.7291609191185462,22.0,30_0.325_0.2
3,3,0.6705983703755886,0.7083591972998753,22.0,30_0.325_0.30000000000000004
